DATAFLOW,LAST UPDATE,freq,indic_bt,cpa2_1,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2002,86.2,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2003,88.6,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2004,91.3,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2005,92.5,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2006,93.5,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2007,95.9,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2008,97.1,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2009,97.1,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2010,97.4,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2011,97.8,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2012,98.5,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2013,99.4,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2014,99.7,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2015,100.0,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2016,100.0,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2017,100.7,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2018,101.3,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2019,101.5,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2020,101.8,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2021,103.7,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AL,2022,110.3,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1990,49.1,s
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1991,51.2,s
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1992,53.8,s
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1993,56.3,s
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1994,58.3,s
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1995,60.3,s
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1996,61.3,s
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1997,62.9,s
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1998,64.3,s
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,1999,65.6,s
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2000,67.1,s
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2001,68.6,s
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2002,69.6,s
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2003,71.4,s
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2004,75.1,s
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2005,76.7,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2006,80.2,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2007,83.8,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2008,88.2,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2009,88.7,p
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2010,91.5,p
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2011,93.6,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2012,95.7,p
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2013,97.4,p
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2014,98.5,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2015,100.0,p
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2016,100.6,p
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2017,104.1,p
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2018,107.1,p
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2019,108.3,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2020,109.2,p
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2021,120.6,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,AT,2022,132.8,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2003,64.3,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2004,66.2,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2005,71.7,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2006,76.0,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2007,81.0,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2008,91.1,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2009,97.9,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2010,96.6,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2011,97.2,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2012,96.6,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2013,98.0,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2014,98.7,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2015,100.0,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2016,100.8,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2017,103.6,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2018,106.6,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2019,112.6,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2020,115.2,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2021,127.9,p
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,BG,2022,196.4,p
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,1998,61.7,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,1999,61.6,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2000,65.1,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2001,67.4,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2002,70.1,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2003,73.8,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2004,79.2,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2005,82.7,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2006,86.9,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2007,91.2,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2008,98.5,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2009,99.3,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2010,102.5,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2011,106.0,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2012,107.0,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2013,102.7,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2014,100.8,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2015,100.0,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2016,99.2,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2017,99.3,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2018,100.6,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2019,102.8,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2020,103.1,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2021,109.7,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CY,2022,120.8,p
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2000,71.5,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2001,73.9,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2002,75.8,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2003,77.3,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2004,83.7,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2005,86.9,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2006,88.7,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2007,92.9,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2008,96.2,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2009,95.9,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2010,97.0,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2011,98.7,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2012,99.2,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2013,98.8,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2014,100.0,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2015,100.0,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2016,100.3,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2017,103.0,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2018,107.2,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2019,113.1,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2020,115.5,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2021,125.1,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,CZ,2022,150.6,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DE,2000,76.4,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DE,2001,76.9,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DE,2002,77.6,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DE,2003,78.5,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DE,2004,80.6,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DE,2005,81.8,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DE,2006,83.8,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DE,2007,86.6,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DE,2008,89.5,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DE,2009,89.8,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DE,2010,91.8,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DE,2011,95.2,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DE,2012,97.1,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DE,2013,97.8,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DE,2014,98.7,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DE,2015,100.0,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DE,2016,101.3,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DE,2017,104.9,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DE,2018,108.7,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DE,2019,111.0,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DE,2020,112.2,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DE,2021,120.3,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DE,2022,136.4,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,1995,60.1,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,1996,61.6,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,1997,63.3,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,1998,65.1,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,1999,67.2,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,2000,68.9,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,2001,71.1,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,2002,72.7,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,2003,74.3,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,2004,75.8,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,2005,77.6,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,2006,81.3,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,2007,86.4,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,2008,88.9,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,2009,88.6,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,2010,89.6,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,2011,92.8,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,2012,95.2,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,2013,96.6,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,2014,98.1,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,2015,100.0,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,2016,101.6,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,2017,102.4,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,2018,104.2,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,2019,105.0,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,2020,105.8,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,2021,110.0,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,DK,2022,121.0,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,EA19,2000,72.7,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,EA19,2001,74.0,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,EA19,2002,75.5,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,EA19,2003,77.0,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,EA19,2004,79.5,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,EA19,2005,81.6,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,EA19,2006,84.5,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,EA19,2007,87.9,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,EA19,2008,91.4,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,EA19,2009,91.8,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,EA19,2010,93.5,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,EA19,2011,96.5,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,EA19,2012,98.2,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,EA19,2013,98.8,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,EA19,2014,99.3,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,EA19,2015,100.0,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,EA19,2016,100.6,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,EA19,2017,102.9,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,EA19,2018,105.7,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,EA19,2019,107.4,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,EA19,2020,108.2,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,EA19,2021,115.2,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,EA19,2022,129.3,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,EA20,2000,72.7,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,EA20,2001,74.0,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,EA20,2002,75.5,
ESTAT:STS_COPI_A(1.0),26/04/23 11:00:00,A,CSTI,CPA_F41001_X_410014,NSA,I15,EA20,2003,77.0,
